original_id_langue,original_nom_langue,original_code_iso_639_3,original_id_famille,decision,retained_id_langue,retained_id_famille,reason
LANG_AFRO_1,Arabe standard moderne,arb,FLG_AFROASIATIQUE,removed,LANG_SEM_1,FLG_SEMITIQUE,Duplicate macro-family assignment; the retained Semitic row is more specific.
LANG_AFRO_2,Amharique,amh,FLG_AFROASIATIQUE,removed,LANG_SEM_2,FLG_SEMITIQUE,Duplicate macro-family assignment; the retained Semitic row is more specific.
LANG_AFRO_3,Somali,som,FLG_AFROASIATIQUE,removed,LANG_COU_1,FLG_COUCHITIQUE,Duplicate macro-family assignment; the retained Cushitic row is more specific.
LANG_AFRO_4,Hausa,hau,FLG_AFROASIATIQUE,removed,LANG_TCH_1,FLG_TCHADIQUE,Duplicate macro-family assignment; the retained Chadic row is more specific.
LANG_AFRO_5,Tigrinya,tir,FLG_AFROASIATIQUE,removed,LANG_SEM_3,FLG_SEMITIQUE,Duplicate macro-family assignment; the retained Semitic row is more specific.
LANG_SEM_1,Arabe standard moderne,arb,FLG_SEMITIQUE,retained,LANG_SEM_1,FLG_SEMITIQUE,Direct Glottolog 5.3 match retained.
LANG_SEM_2,Amharique,amh,FLG_SEMITIQUE,retained,LANG_SEM_2,FLG_SEMITIQUE,Direct Glottolog 5.3 match retained.
LANG_SEM_3,Tigrinya,tir,FLG_SEMITIQUE,retained,LANG_SEM_3,FLG_SEMITIQUE,Direct Glottolog 5.3 match retained.
LANG_SEM_4,H√©breu moderne,heb,FLG_SEMITIQUE,retained,LANG_SEM_4,FLG_SEMITIQUE,Direct Glottolog 5.3 match retained.
LANG_SEM_5,Arabe soudanais,apd,FLG_SEMITIQUE,retained,LANG_SEM_5,FLG_SEMITIQUE,Direct Glottolog 5.3 match retained.
LANG_BER_1,Kabyle,kab,FLG_BERBERE,retained,LANG_BER_1,FLG_BERBERE,Direct Glottolog 5.3 match retained.
LANG_BER_2,Tamazight du Moyen Atlas,tzm,FLG_BERBERE,retained,LANG_BER_2,FLG_BERBERE,Direct Glottolog 5.3 match retained.
LANG_BER_3,Tamazight du Rif (Tarifit),rif,FLG_BERBERE,retained,LANG_BER_3,FLG_BERBERE,Direct Glottolog 5.3 match retained.
LANG_BER_4,Tachelhit,shi,FLG_BERBERE,retained,LANG_BER_4,FLG_BERBERE,Direct Glottolog 5.3 match retained.
LANG_BER_5,Tamasheq (Touareg),taq,FLG_BERBERE,retained,LANG_BER_5,FLG_BERBERE,Direct Glottolog 5.3 match retained.
LANG_TCH_1,Hausa,hau,FLG_TCHADIQUE,retained,LANG_TCH_1,FLG_TCHADIQUE,Direct Glottolog 5.3 match retained.
LANG_TCH_2,Ngambay,,FLG_TCHADIQUE,removed,LANG_SC_2,FLG_SOUDANIQUECENTRAL,Ngambay is Central Sudanic in Glottolog 5.3; the correctly assigned duplicate is retained.
LANG_TCH_3,Bura,,FLG_TCHADIQUE,retained,LANG_TCH_3,FLG_TCHADIQUE,Direct Glottolog 5.3 match retained.
LANG_TCH_4,Margi,,FLG_TCHADIQUE,removed,,,Margi is broad and matches Marghi Central and Marghi South; no single ISO code is unambiguous.
LANG_TCH_5,Kotoko,,FLG_TCHADIQUE,removed,,,Kotoko is a broad grouping in the Chadic tree; the label does not identify one language.
LANG_COU_1,Somali,som,FLG_COUCHITIQUE,retained,LANG_COU_1,FLG_COUCHITIQUE,Direct Glottolog 5.3 match retained.
LANG_COU_2,Oromo (Afaan Oromo),orm,FLG_COUCHITIQUE,removed,,,Glottolog 5.3 does not attach ISO orm to one languoid and Oromo matches multiple languages.
LANG_COU_3,Afar,aar,FLG_COUCHITIQUE,retained,LANG_COU_3,FLG_COUCHITIQUE,Direct Glottolog 5.3 match retained.
LANG_COU_4,Beja,bej,FLG_COUCHITIQUE,retained,LANG_COU_4,FLG_COUCHITIQUE,Direct Glottolog 5.3 match retained.
LANG_COU_5,Sidamo (Sidama),,FLG_COUCHITIQUE,retained,LANG_COU_5,FLG_COUCHITIQUE,Direct Glottolog 5.3 match retained.
LANG_OMO_1,Wolaytta,wal,FLG_OMOTIQUE,removed,,,Glottolog 5.3 classifies Wolaytta in Ta-Ne-Omotic; no exact existing AFRIK family matches.
LANG_OMO_2,Gamo,,FLG_OMOTIQUE,removed,,,Glottolog 5.3 classifies Gamo in Ta-Ne-Omotic; no exact existing AFRIK family matches.
LANG_OMO_3,Bench,,FLG_OMOTIQUE,removed,,,Glottolog 5.3 treats Bench as a separate top-level family; no exact existing AFRIK family matches.
LANG_OMO_4,Dizi,,FLG_OMOTIQUE,removed,,,Glottolog 5.3 treats Dizin as a separate top-level family; no exact existing AFRIK family matches.
LANG_OMO_5,Kafa,,FLG_OMOTIQUE,removed,,,Glottolog 5.3 classifies Kafa in Ta-Ne-Omotic; no exact existing AFRIK family matches.
LANG_NC_1,Swahili,swa,FLG_NIGERCONGO,removed,,,Niger-Congo is not a Glottolog 5.3 family and ISO swa is not attached to a Glottolog languoid.
LANG_NC_2,Yoruba,yor,FLG_NIGERCONGO,removed,LANG_BC_1,FLG_BENOUECONGO,Duplicate macro-family assignment; the retained Benue-Congo row is more specific.
LANG_NC_3,Igbo,ibo,FLG_NIGERCONGO,removed,LANG_BC_2,FLG_BENOUECONGO,Duplicate macro-family assignment; the retained Benue-Congo row is more specific.
LANG_NC_4,Fula / Fulfulde,,FLG_NIGERCONGO,removed,,,Fula or Fulfulde denotes multiple lects and no single ISO language is unambiguous.
LANG_NC_5,Zulu,,FLG_NIGERCONGO,retained,LANG_NC_5,FLG_BANTU,Existing row moved to the exact Glottolog-backed AFRIK family.
LANG_ATL_1,Wolof,wol,FLG_ATLANTIQUE,retained,LANG_ATL_1,FLG_ATLANTIQUE,Direct Glottolog 5.3 match retained.
LANG_ATL_2,Fula / Pulaar,,FLG_ATLANTIQUE,removed,,,Fula or Pulaar denotes multiple lects and no single ISO language is unambiguous.
LANG_ATL_3,Serer,srr,FLG_ATLANTIQUE,retained,LANG_ATL_3,FLG_ATLANTIQUE,Direct Glottolog 5.3 match retained.
LANG_ATL_4,Jola-Fonyi,dyo,FLG_ATLANTIQUE,retained,LANG_ATL_4,FLG_ATLANTIQUE,Direct Glottolog 5.3 match retained.
LANG_ATL_5,Balanta,bjt,FLG_ATLANTIQUE,retained,LANG_ATL_5,FLG_ATLANTIQUE,Direct Glottolog 5.3 match retained.
LANG_MAN_1,Bambara,bam,FLG_MANDE,retained,LANG_MAN_1,FLG_MANDE,Direct Glottolog 5.3 match retained.
LANG_MAN_2,Mandinka,mnk,FLG_MANDE,retained,LANG_MAN_2,FLG_MANDE,Direct Glottolog 5.3 match retained.
LANG_MAN_3,Soninke,snk,FLG_MANDE,retained,LANG_MAN_3,FLG_MANDE,Direct Glottolog 5.3 match retained.
LANG_MAN_4,Vai,vai,FLG_MANDE,retained,LANG_MAN_4,FLG_MANDE,Direct Glottolog 5.3 match retained.
LANG_MAN_5,Kpelle,kpe,FLG_MANDE,removed,,,ISO kpe is not attached to one Glottolog languoid and Kpelle resolves to multiple languages.
LANG_GUR_1,Mossi,mos,FLG_GUR,retained,LANG_GUR_1,FLG_GUR,Direct Glottolog 5.3 match retained.
LANG_GUR_2,Dagbani,dag,FLG_GUR,retained,LANG_GUR_2,FLG_GUR,Direct Glottolog 5.3 match retained.
LANG_GUR_3,Dagaare,dga,FLG_GUR,retained,LANG_GUR_3,FLG_GUR,Direct Glottolog 5.3 match retained.
LANG_GUR_4,Kusaal,kus,FLG_GUR,retained,LANG_GUR_4,FLG_GUR,Direct Glottolog 5.3 match retained.
LANG_GUR_5,Gurene (Frafra),,FLG_GUR,retained,LANG_GUR_5,FLG_GUR,Direct Glottolog 5.3 match retained.
LANG_KRO_1,B√©t√©,,FLG_KROU,removed,,,Bété is a broad label shared by multiple Kru languages; no single ISO code is unambiguous.
LANG_KRO_2,W√© (Gu√©r√©),,FLG_KROU,removed,,,Wé or Guéré is a broad label shared by multiple Kru languages; no single ISO code is unambiguous.
LANG_KRO_3,Dida,,FLG_KROU,removed,,,Dida is a broad label shared by multiple Kru languages; no single ISO code is unambiguous.
LANG_KRO_4,Grebo,grb,FLG_KROU,retained,LANG_KRO_4,FLG_KROU,Direct Glottolog 5.3 match retained.
LANG_KRO_5,Krahn,,FLG_KROU,removed,,,Krahn is a broad label shared by multiple Kru languages; no single ISO code is unambiguous.
